id,domain,portal_system,portal_subdomain,confidence,detection_method,validated,validation_website,error,timestamp,created_at,updated_at
104,realpmsolutions.com,appfolio,rpmor005.appfolio.com,high,secondary_page:/tenants/,1,http://www.realpmsolutions.com,,2026-02-01T20:55:31.664258,2026-02-25 06:54:01,2026-02-25 06:54:01
105,uptownpm.com,appfolio,uptownproperties.appfolio.com,high,homepage_fetch,1,http://www.uptownpm.com,,2026-02-01T20:55:37.494144,2026-02-25 06:54:01,2026-02-25 06:54:01
108,specializedpropertymanagementdallas.com,propertyware,app.propertyware.com,high,secondary_page:/owners/,0,,,2026-02-01T20:56:38.399431,2026-02-25 06:54:01,2026-02-25 06:54:01
110,redwagonproperties.com,buildium,redwagonproperties.managebuilding.com,high,homepage_fetch,0,,,2026-02-01T20:56:51.244528,2026-02-25 06:54:01,2026-02-25 06:54:01
111,pineapplepropertygroup.com,buildium,pineapple.managebuilding.com,high,homepage_fetch,0,,,2026-02-01T20:57:35.116232,2026-02-25 06:54:01,2026-02-25 06:54:01
112,reederproperties.com,appfolio,reederproperties.appfolio.com,high,subdomain_probe,1,http://www.reederproperties.com,,2026-02-01T20:57:37.004434,2026-02-25 06:54:01,2026-02-25 06:54:01
113,thejosephgroup.com,propertyware,app.propertyware.com,high,homepage_fetch,0,,,2026-02-01T20:58:34.707467,2026-02-25 06:54:01,2026-02-25 06:54:01
115,propertymanagersseattle.com,appfolio,sja.appfolio.com,low,homepage_fetch,0,,,2026-02-01T20:58:36.404004,2026-02-25 06:54:01,2026-02-25 06:54:01
120,realmanage.com,propertyware,realmanage.propertyware.com,medium,subdomain_probe,0,,,2026-02-01T20:58:47.928360,2026-02-25 06:54:01,2026-02-25 06:54:01
121,wsr.net,appfolio,wsr.appfolio.com,high,subdomain_probe,1,http://wsr.net,,2026-02-01T21:00:17.355364,2026-02-25 06:54:01,2026-02-25 06:54:01
124,rentmedenver.com,appfolio,pioneerpm.appfolio.com,high,secondary_page:/owner-portal/,1,http://www.rentmedenver.com,,2026-02-01T21:00:52.269534,2026-02-25 06:54:01,2026-02-25 06:54:01
125,tcsmgt.com,appfolio,tcsmgt.appfolio.com,high,subdomain_probe,1,http://www.tcsmgt.com,,2026-02-01T21:01:26.757254,2026-02-25 06:54:01,2026-02-25 06:54:01
128,platinumrentalproperty.com,appfolio,platinumpmsvcs.appfolio.com,high,homepage_fetch,1,https://www.platinumrentalproperty.com,,2026-02-01T21:02:52.742813,2026-02-25 06:54:01,2026-02-25 06:54:01
129,revolutionrentalmanagement.com,rentvine,revolutionrentalmanagement.rentvine.com,high,homepage_fetch,0,,,2026-02-01T21:02:56.107168,2026-02-25 06:54:01,2026-02-25 06:54:01
130,rooftoprentals.net,propertyboss,portal.propertyboss.net,high,homepage_fetch,0,,,2026-02-01T21:02:57.676035,2026-02-25 06:54:01,2026-02-25 06:54:01
131,skypropmgmt.com,appfolio,skypm.appfolio.com,high,homepage_fetch,1,http://skypropmgmt.com,,2026-02-01T21:04:23.490088,2026-02-25 06:54:01,2026-02-25 06:54:01
133,shiprockmanagement.com,rentmanager,shiprock.owa.rentmanager.com,high,homepage_fetch,0,,,2026-02-01T21:04:32.604944,2026-02-25 06:54:01,2026-02-25 06:54:01
134,rpmwake.com,appfolio,rpmnc007.appfolio.com,high,secondary_page:/tenants/,1,http://www.rpmwake.com,,2026-02-01T21:05:17.775048,2026-02-25 06:54:01,2026-02-25 06:54:01
136,rpmpittsburgh.com,appfolio,rpmpa003.appfolio.com,high,secondary_page:/tenants/,1,http://www.rpmpittsburgh.com,,2026-02-01T21:06:57.258852,2026-02-25 06:54:01,2026-02-25 06:54:01
137,propertymanagementoh.com,propertyware,app.propertyware.com,high,link_redirect:followed_link:landlord login,0,,,2026-02-01T21:06:39.536170,2026-02-25 06:54:01,2026-02-25 06:54:01
138,spradleyproperties.com,rentmanager,sprad.owa.rentmanager.com,high,homepage_fetch,0,,,2026-02-01T21:08:41.771033,2026-02-25 06:54:01,2026-02-25 06:54:01
139,starpointerealtymanagement.com,rentvine,starpointe.rentvine.com,high,homepage_fetch,0,,,2026-02-01T21:08:46.194077,2026-02-25 06:54:01,2026-02-25 06:54:01
141,rwhamptonroads.com,appfolio,rwvirginiabeach.appfolio.com,high,homepage_fetch,1,http://www.rwhamptonroads.com,,2026-02-01T21:08:51.974051,2026-02-25 06:54:01,2026-02-25 06:54:01
142,sjcmanagement.com,rentmanager,sjcmg.owa.rentmanager.com,high,homepage_fetch,0,,,2026-02-01T21:09:14.846531,2026-02-25 06:54:01,2026-02-25 06:54:01
145,therentexperts.com,buildium,therentexperts.managebuilding.com,high,homepage_fetch,0,,,2026-02-01T21:09:41.320838,2026-02-25 06:54:01,2026-02-25 06:54:01
147,rpmlastfrontier.com,appfolio,rpmak001.appfolio.com,high,homepage_fetch,1,http://www.rpmlastfrontier.com,,2026-02-01T21:09:48.790941,2026-02-25 06:54:01,2026-02-25 06:54:01
149,pjhussey.com,propertyware,app.propertyware.com,high,homepage_fetch,0,,,2026-02-01T21:09:54.736613,2026-02-25 06:54:01,2026-02-25 06:54:01
